,Equipe,Cidade,Estado,Em 2024,Estádio (mando),Capacidade[31],Títulos
0,Atlético Mineiro,Belo Horizonte,MG,12.º,Arena MRV,44 892,"3 ( 1937 , [ 32 ] 1971 e 2021 )"
1,Bahia,Salvador,BA,8.º,Casa de Apostas Arena Fonte Nova,50 025,2 ( 1959 e 1988 )
2,Botafogo,Rio de Janeiro,RJ,1.º,Nilton Santos,44 661,"3 ( 1968 [ nota 2 ] , 1995 e 2024 )"
3,Ceará,Fortaleza,CE,4.º ( Série B ),Arena Castelão,63 903,0 (não possui)
4,Corinthians,São Paulo,SP,7.º,Neo Química Arena,47 605,"7 ( 1990 , 1998 , 1999 , 2005 , 2011 , 2015 , 2017 )"
5,Cruzeiro,Belo Horizonte,MG,9.º,Mineirão,61 927,"4 ( 1966 , 2003 , 2013 e 2014 )"
6,Flamengo,Rio de Janeiro,RJ,3.º,Maracanã,78 838,"7 ( 1980 , 1982 , 1983 , 1992 , 2009 , 2019 e 2020 ) [ nota 3 ]"
7,Fluminense,Rio de Janeiro,RJ,13.º,Maracanã,78 838,"4 ( 1970 , 1984 , 2010 e 2012 )"
8,Fortaleza,Fortaleza,CE,4.º,Arena Castelão,63 903,0 (não possui)
9,Grêmio,Porto Alegre,RS,14.º,Arena do Grêmio,60 540,"2 ( 1981 , 1996 )"
10,Internacional,Porto Alegre,RS,5.º,Beira-Rio,50 842,"3 ( 1975 , 1976 , 1979 )"
11,Juventude,Caxias do Sul,RS,15.°,Alfredo Jaconi,19 924,0 (não possui)
12,Mirassol,Mirassol,SP,2.º ( Série B ),Campos Maia,15 000,0 (não possui)
13,Palmeiras,São Paulo,SP,2.º,Allianz Parque,43 713,"12 ( 1960 , 1967 [ nota 2 ] , 1967 [ nota 4 ] , 1969 , 1972 , 1973 , 1993 , 1994 , 2016 , 2018 , 2022 , 2023 )"
14,Red Bull Bragantino,Bragança Paulista,SP,16.º,Nabi Abi Chedid,15 010,0 (não possui)
15,Santos,Santos,SP,1.º ( Série B ),Vila Belmiro,16 068,"8 ( 1961 , 1962 , 1963 , 1964 , 1965 , 1968 [ nota 4 ] , 2002 , 2004 )"
16,São Paulo,São Paulo,SP,6.º,MorumBIS,72 039,"6 ( 1977 , 1986 , 1991 , 2006 , 2007 , 2008 )"
17,Sport,Recife,PE,3.º ( Série B ),Ilha do Retiro,26 418,1 ( 1987 )
18,Vasco da Gama,Rio de Janeiro,RJ,10.º,São Januário,21 680,"4 ( 1974 , 1989 e 1997 e 2000 )"
19,Vitória,Salvador,BA,11.º,Barradão,29 168,0 (não possui)
